"RelativePath","Bytes","ReferenceSha256","ImportedSha256","Match"
"libraries/rawkit/camera_data/Sony/ILCE-9.toml","93","513379D176295EB59632E90C99F4A44ABE7711DCE5DF09ED50899146F8DBEE2E","513379D176295EB59632E90C99F4A44ABE7711DCE5DF09ED50899146F8DBEE2E","True"
"libraries/rawkit/camera_data/Sony/ILCE-9M2.toml","93","513379D176295EB59632E90C99F4A44ABE7711DCE5DF09ED50899146F8DBEE2E","513379D176295EB59632E90C99F4A44ABE7711DCE5DF09ED50899146F8DBEE2E","True"
"libraries/rawkit/camera_data/Sony/ILCE-9M3.toml","93","3D8E76A48F6D7D27F0A389C5D7BC5C1A25B74E279595742666BE151BE5C9D8F5","3D8E76A48F6D7D27F0A389C5D7BC5C1A25B74E279595742666BE151BE5C9D8F5","True"
"libraries/rawkit/camera_data/Sony/NEX-3.toml","93","D7D902E60F4977899E86E596BEA464909FD296920DCAED7722DEB33B0E3E63CD","D7D902E60F4977899E86E596BEA464909FD296920DCAED7722DEB33B0E3E63CD","True"
"libraries/rawkit/camera_data/Sony/NEX-3N.toml","93","4EF012D0EE6A4956DFC213234BE570D278C709F6D0D85819603F2A566680BE1C","4EF012D0EE6A4956DFC213234BE570D278C709F6D0D85819603F2A566680BE1C","True"
"libraries/rawkit/camera_data/Sony/NEX-5R.toml","93","4EF012D0EE6A4956DFC213234BE570D278C709F6D0D85819603F2A566680BE1C","4EF012D0EE6A4956DFC213234BE570D278C709F6D0D85819603F2A566680BE1C","True"
"libraries/rawkit/camera_data/Sony/NEX-6.toml","93","4EF012D0EE6A4956DFC213234BE570D278C709F6D0D85819603F2A566680BE1C","4EF012D0EE6A4956DFC213234BE570D278C709F6D0D85819603F2A566680BE1C","True"
"libraries/rawkit/camera_data/Sony/NEX-7.toml","93","E65BFAF806B67A872CCC7392FEA139D1183D8D0F67FB58096D0A717448798D72","E65BFAF806B67A872CCC7392FEA139D1183D8D0F67FB58096D0A717448798D72","True"
"libraries/rawkit/camera_data/Sony/ZV-1.toml","93","EE781B2FAFE408ADB56F63E668030CE2974D0F5F0FDC946AF81B8CB75B4F35C8","EE781B2FAFE408ADB56F63E668030CE2974D0F5F0FDC946AF81B8CB75B4F35C8","True"
"libraries/rawkit/camera_data/Sony/ZV-1M2.toml","93","EE781B2FAFE408ADB56F63E668030CE2974D0F5F0FDC946AF81B8CB75B4F35C8","EE781B2FAFE408ADB56F63E668030CE2974D0F5F0FDC946AF81B8CB75B4F35C8","True"
